0	2023-01-31 12:56:04Z	Sorry, planned but not yet available
20220516195601	2023-01-31 12:55:50Z	Josh Waitzkin Journaling Method
20220729010549	2023-01-31 12:55:50Z	How to make a zettel entry
20220729010550	2023-01-31 12:55:50Z	How to get the Isosec as Folder as output in shell?
20220811070700	2023-01-31 12:55:50Z	What Every BJJ White Belt and Blue Belt Should learn?
20220811113800	2023-01-31 12:55:50Z	What is NAT and Bridged?
20220812112400	2023-01-31 12:55:50Z	What is the difference between Terminal and Console?
20220812115500	2023-01-31 12:55:50Z	What is an inode?
20220812121400	2023-01-31 12:55:50Z	Whar are Permissions?
20220815080015	2023-01-31 12:55:50Z	What is a OVA File?
20220816091049	2023-01-31 12:55:50Z	What is a Hardlink?
20220816151208	2023-01-31 12:55:50Z	What are the three major types/Families of Regular Expressions?
20220816152428	2023-01-31 12:55:50Z	What is a UNIX filter?
20220817065112	2023-01-31 12:55:50Z	What is setuid?
20220817073033	2023-01-31 12:55:50Z	What is the difference between locate, which, whereis and find?
20220817073814	2023-01-31 12:55:50Z	What is the difference between /tmp and /dev/shm?
20220817075709	2023-01-31 12:55:50Z	Why is it better to allow rather than deny?
20220817075846	2023-01-31 12:55:50Z	What's a glob/globstar?
20220817094110	2023-01-31 12:55:50Z	What is POSIX?
20220817142809	2023-01-31 12:55:50Z	How to own somebody using env in their shebang?
20220817152230	2023-01-31 12:55:50Z	What is a Elf-Binary?
20220819111406	2023-01-31 12:55:50Z	What is command substitution in bash?
20220820005610	2023-01-31 12:55:50Z	How can I work on Neck Flexion and Rotation Mobilization?
20220820010136	2023-01-31 12:55:50Z	How Do I do Shoulder Cars? 
20220820010713	2023-01-31 12:55:50Z	How do I do Shoulder pulls?
20220820011134	2023-01-31 12:55:50Z	How do I mobilize my Wrists?
20220820011721	2023-01-31 12:55:50Z	How do I mobilize my upper Spine?
20220820012154	2023-01-31 12:55:50Z	How do I do Assisted Thoracic Flexion/Extension?
20220820012600	2023-01-31 12:55:50Z	How do I do Kneeling Thoracic Extension/Rotation?
20220820012912	2023-01-31 12:55:50Z	How do I do Side-Lying Thoracic Rotation?
20220820013241	2023-01-31 12:55:50Z	How do I do Assisted Thoracic Rotation?
20220820013803	2023-01-31 12:55:50Z	How do I do Reverse Thoracic Tabletop rotations?
20220820014054	2023-01-31 12:55:50Z	How do I do Bird Dog Row?
20220820014512	2023-01-31 12:55:50Z	How do I do Box Hip flexors Stretch?
20220820015132	2023-01-31 12:55:50Z	How do I do 90/90 Hips?
20220820015452	2023-01-31 12:55:50Z	How do I do Tactical Frog Depth?
20220820015941	2023-01-31 12:55:50Z	How do I do Tactical Frog Side to Side?
20220820020252	2023-01-31 12:55:50Z	How do I do Tactical Frog Tibia Lift?
20220820020554	2023-01-31 12:55:50Z	How do I do Sacroiliac Joint Mobilization?
20220820021237	2023-01-31 12:55:50Z	How do I do The Ski Move?
20220820112737	2023-01-31 12:55:50Z	How do I do Knee Rolls?
20220820113026	2023-01-31 12:55:50Z	How do I do Inside and Outside Leg Pummelling?
20220820113501	2023-01-31 12:55:50Z	How do I do Rocking Chair?
20220820115428	2023-01-31 12:55:50Z	How do I do Ankle Dorsiflexion?
20220820115726	2023-01-31 12:55:50Z	How do I Structure my Routine Day 1?
20220820120035	2023-01-31 12:55:50Z	How do I Structure my Routine Day 2?
20220820172230	2023-01-31 12:55:50Z	How do you generate a ssh key?
20220823092741	2023-01-31 12:55:50Z	What does Grok mean?
20220824115412	2023-01-31 12:55:50Z	
20220825182037	2023-01-31 12:55:50Z	Differences between Braces and Parentheses in Bash
20220825183702	2023-01-31 12:55:50Z	Outputting or Redirecting in bash
20220825185326	2023-01-31 12:55:50Z	Differences between single quotes and double quotes in bash
20220828143938	2023-01-31 12:55:50Z	What are Positional Parameters in Bash?
20220829152306	2023-01-31 12:55:50Z	Cybersecurity search engines
20220829233531	2023-01-31 12:55:50Z	What is the fluentd logging driver for Docker? 
20220829234356	2023-01-31 12:55:50Z	What is logrotate on Linux?
20220901045302	2023-01-31 12:55:50Z	See People as they Are: Social Intelligence
20220901052008	2023-01-31 12:55:50Z	Strategies for Acquiring Social Intelligence
20220902041719	2023-01-31 13:55:50Z	What is `Fluentd`?
20220902043235	2023-01-31 12:55:50Z	Why use `Fluentd`?
20220902044518	2023-01-31 12:55:50Z	What is a Unified Logging Layer?
20220902152552	2023-01-31 12:55:50Z	What are Directives in Angular?
